,사업장명,위도,경도
0,엘리에나호텔,37.51091326626285,127.0309881130841
1,에이든 청담호텔,37.520018240348364,127.03048116616488
2,골드 마운틴77,37.47986718867939,126.89115393220803
3,더팬관광호텔,37.48680359132313,127.0217519188473
4,호텔 세느,37.50394434432403,127.03509502540386
5,포포인츠바이쉐라톤서울강남,37.52025412662377,127.02847822086234
6,오월호텔,37.500603838533415,127.04108572180806
7,(주)호텔롯데 L7 강남,37.50570189223452,127.05155068061808
8,올리브 호스텔,37.55836699627607,126.9851078837817
9,호텔 엔트라,37.52403586016794,127.04848688095441
10,호텔 컬리넌 개포,37.47684695304667,127.04592245912748
11,호텔 엘르인,37.54041016690635,126.9721956187895
12,페어몬트 앰배서더 서울(Fairmont Ambassador Seoul),37.52605011281694,126.92829586210509
13,호텔 DM,37.57334838572618,127.01938964814389
14,JW메리어트호텔 서울,37.50436410196331,127.00362094045613
15,쉐라톤 서울 디큐브시티 호텔,37.50858482472635,126.88889752194498
16,도미인 서울 강남,37.50561279067702,127.02946900789394
17,G2 호텔,37.56335516245272,126.99046915475058
18,호텔 더 캐슬(방이2),37.515346829914726,127.10911814281404
19,호텔 유리앤,37.508927073575265,127.05756854987473
20,카파스 호텔,37.501540477000816,127.04112395764557
21,호텔 디 아티스트 역삼,37.50241300980253,127.03848917128843
22,서울H,37.526596422077624,126.88493006643598
23,호텔 밀하우스,37.556372394034604,126.9379432441798
24,신촌라싸 관광호텔,37.55610932153519,126.93731093311781
25,신라스테이서대문,37.565157216583756,126.96677430850045
26,신촌 EVER8 레지던스 호텔,37.55742218744476,126.94256953566375
27,스위스그랜드호텔서울,37.58918063266887,126.9352538845735
28,궁전호스텔,37.55689102237678,126.943405633882
29,호텔 소울하다,37.49873103126483,127.0324600205966
30,강남 스테이 호텔,37.499404821823234,127.03544300084766
31,강남패밀리호텔,37.50647355727852,127.03015637564029
32,호텔 더 디자이너스 리즈 강남 프리미어,37.505464466845304,127.02589758837259
33,호텔 페이토 삼성,37.5084540431776,127.0587151157196
34,스텔라 호스텔,37.505279791854825,127.05416060244623
35,호텔 클로이,37.51718063045631,127.01984484414349
36,호텔 포레힐,37.51210107272914,127.02363161063084
37,호텔 카푸치노,37.506881163608924,127.03148141259915
38,더제리스플래닛 호텔,37.499042036149746,127.02851463455158
39,인더시티호스텔,37.50303008188169,127.04000549488451
40,리치웰 호텔(Richwell Hotel),37.50297217304733,127.03982319490258
41,호텔 데님(Hotel Denim),37.47618987806879,127.0466158149186
42,에이치 에비뉴 호텔 역삼(H AVENUE HOTEL YEOKSAM),37.50249381898336,127.03873811274566
43,알로프트 서울 강남 호텔,37.52374756472905,127.05565713180447
44,K-그랜드 호스텔 강남 1,37.50554402606114,127.02523142020063
45,바모스,37.47300691402413,126.88683608849624
46,호텔부티크나인,37.556417741245504,127.0800046794636
47,헨나호텔서울명동,37.56202354235068,126.9883184259992
48,베니키아 강남 노블레스 호텔,37.50139675478508,127.0357922437446
49,타오 호텔,37.620478537647614,126.91950474262399
50,힐튼 가든 인 서울 강남,37.4859141717719,127.03275517230432
51,자자백팩커스,37.55880429357218,126.98641891395069
52,신라스테이 삼성,37.51005644572298,127.06314286377248
53,파티오7,37.51780780445171,127.02925555445424
54,호텔 오크우드 프리미어,37.51252115496182,127.05881929973503
55,인터컨티넨탈 서울 코엑스,37.51252115496182,127.05881929973503
56,뉴삼화호텔,37.521989354346715,127.01954864327304
57,라비타 호텔,37.52143846657366,127.05694589350674
58,노보텔 앰배서더 강남,37.505303330492296,127.02886701898474
59,임피리얼팰리스호텔,37.51398566342547,127.03587590882915
60,선샤인 관광호텔,37.52054040307327,127.02874627877868
61,자이언트,37.512435944580574,127.04969906130833
62,힐탑관광호텔,37.51157531600389,127.0310292826513
63,라마다서울호텔,37.51029508051193,127.0453883639988
64,프리마관광호텔,37.52428153836929,127.0522603171286
65,호텔 크레센도 서울,37.510815355989195,127.04690562723697
66,라이즈호텔,37.55443222757218,126.92125091399022
67,한중레지던스,37.479337560831006,126.89154903205893
68,센터마크호텔,37.57259455633878,126.98419916429204
69,리플러스 호스텔,37.56400161464352,127.0093786234538
70,삼정관광호텔,37.5058338878528,127.03131605217888
71,글래드 라이브,37.50833374258261,127.03630389572946
72,머큐어 앰버서더 쏘도베 호텔,37.50125547991771,127.03545575745953
73,호텔 스카이파크 킹스타운 동대문지점,37.56864346514201,127.00773233798803
74,르릿,37.56363974291161,127.00855652320621
75,호텔 글래드 강남 코엑스센터,37.50885063061023,127.06453692158235
76,스텔라이,37.47089787458342,126.8900562075527
77,호텔 트리플8,37.452701044164755,126.9024793141089
78,호텔 28,37.56435359155251,126.98396991906125
79,트레블로지 동대문 호텔,37.56641290943625,127.00188503864075
80,로카하우스,37.56163606376411,126.99217296224664
81,녹스부띠끄관광호텔,37.504058155644074,127.03614150717631
82,호텔 그레이스리 서울,37.56159703524992,126.9769687405293
83,바모스하우스,37.479663423816824,126.89125435038267
